[2025-10-12 13:42:34.413] [INIT].... → Crawl4AI 0.7.4 
[2025-10-12 13:42:38.664] [FETCH]... ↓ https://ai.pydantic.dev/                                                                             | ✓ | ⏱: 4.22s 
[2025-10-12 13:42:38.762] [SCRAPE].. ◆ https://ai.pydantic.dev/                                                                             | ✓ | ⏱: 0.09s 
[2025-10-12 13:42:38.770] [COMPLETE] ● https://ai.pydantic.dev/                                                                             | ✓ | ⏱: 4.33s 
[2025-10-12 13:43:33.753] [INIT].... → Crawl4AI 0.7.4 
[2025-10-12 13:43:37.792] [FETCH]... ↓ https://ai.pydantic.dev/                                                                             | ✓ | ⏱: 4.02s 
[2025-10-12 13:43:37.929] [SCRAPE].. ◆ https://ai.pydantic.dev/                                                                             | ✓ | ⏱: 0.11s 
[2025-10-12 13:43:37.937] [COMPLETE] ● https://ai.pydantic.dev/                                                                             | ✓ | ⏱: 4.16s 
[2025-10-12 13:43:38.628] [FETCH]... ↓ https://ai.pydantic.dev/a2a/                                                                         | ✓ | ⏱: 0.68s 
[2025-10-12 13:43:38.688] [SCRAPE].. ◆ https://ai.pydantic.dev/a2a/                                                                         | ✓ | ⏱: 0.06s 
[2025-10-12 13:43:38.688] [COMPLETE] ● https://ai.pydantic.dev/a2a/                                                                         | ✓ | ⏱: 0.75s 
[2025-10-12 13:43:39.492] [FETCH]... ↓ https://ai.pydantic.dev/ag-ui/                                                                       | ✓ | ⏱: 0.79s 
[2025-10-12 13:43:39.559] [SCRAPE].. ◆ https://ai.pydantic.dev/ag-ui/                                                                       | ✓ | ⏱: 0.06s 
[2025-10-12 13:43:39.559] [COMPLETE] ● https://ai.pydantic.dev/ag-ui/                                                                       | ✓ | ⏱: 0.87s 
[2025-10-12 13:43:40.574] [FETCH]... ↓ https://ai.pydantic.dev/agents/                                                                      | ✓ | ⏱: 1.00s 
[2025-10-12 13:43:40.716] [SCRAPE].. ◆ https://ai.pydantic.dev/agents/                                                                      | ✓ | ⏱: 0.14s 
[2025-10-12 13:43:40.727] [COMPLETE] ● https://ai.pydantic.dev/agents/                                                                      | ✓ | ⏱: 1.16s 
[2025-10-12 13:43:41.798] [FETCH]... ↓ https://ai.pydantic.dev/builtin-tools/                                                               | ✓ | ⏱: 1.07s 
[2025-10-12 13:43:41.894] [SCRAPE].. ◆ https://ai.pydantic.dev/builtin-tools/                                                               | ✓ | ⏱: 0.09s 
[2025-10-12 13:43:41.898] [COMPLETE] ● https://ai.pydantic.dev/builtin-tools/                                                               | ✓ | ⏱: 1.17s 
[2025-10-12 13:43:42.659] [FETCH]... ↓ https://ai.pydantic.dev/changelog/                                                                   | ✓ | ⏱: 0.75s 
[2025-10-12 13:43:42.725] [SCRAPE].. ◆ https://ai.pydantic.dev/changelog/                                                                   | ✓ | ⏱: 0.05s 
[2025-10-12 13:43:42.725] [COMPLETE] ● https://ai.pydantic.dev/changelog/                                                                   | ✓ | ⏱: 0.82s 
[2025-10-12 13:43:43.530] [FETCH]... ↓ https://ai.pydantic.dev/cli/                                                                         | ✓ | ⏱: 0.80s 
[2025-10-12 13:43:43.590] [SCRAPE].. ◆ https://ai.pydantic.dev/cli/                                                                         | ✓ | ⏱: 0.04s 
[2025-10-12 13:43:43.595] [COMPLETE] ● https://ai.pydantic.dev/cli/                                                                         | ✓ | ⏱: 0.86s 
[2025-10-12 13:43:44.311] [FETCH]... ↓ https://ai.pydantic.dev/common-tools/                                                                | ✓ | ⏱: 0.71s 
[2025-10-12 13:43:44.379] [SCRAPE].. ◆ https://ai.pydantic.dev/common-tools/                                                                | ✓ | ⏱: 0.06s 
[2025-10-12 13:43:44.383] [COMPLETE] ● https://ai.pydantic.dev/common-tools/                                                                | ✓ | ⏱: 0.78s 
[2025-10-12 13:43:45.427] [FETCH]... ↓ https://ai.pydantic.dev/contributing/                                                                | ✓ | ⏱: 1.03s 
[2025-10-12 13:43:45.467] [SCRAPE].. ◆ https://ai.pydantic.dev/contributing/                                                                | ✓ | ⏱: 0.04s 
[2025-10-12 13:43:45.478] [COMPLETE] ● https://ai.pydantic.dev/contributing/                                                                | ✓ | ⏱: 1.09s 
[2025-10-12 13:43:46.473] [FETCH]... ↓ https://ai.pydantic.dev/deferred-tools/                                                              | ✓ | ⏱: 0.98s 
[2025-10-12 13:43:46.545] [SCRAPE].. ◆ https://ai.pydantic.dev/deferred-tools/                                                              | ✓ | ⏱: 0.07s 
